id,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
347,13200,,69139,,,0,1,0,,0,1,1.565931047
348,24500,,35543,HomeImp,Other,21,0,0,83.11198815,1,15,29.8556335
349,17600,76043,95605,DebtCon,Other,3,2,1,85.04333493,6,30,47.84029512
350,25000,,,DebtCon,Other,22,0,2,203.2,0,23,
351,27800,19600,50594,DebtCon,Other,24,0,0,137.2340443,1,10,24.52237465
352,11100,47689,52910,HomeImp,Mgr,21,1,1,224.4807501,1,18,34.94707658
353,12100,29097,72647,DebtCon,Other,8,,,109.5148795,1,22,45.30476057
354,18900,61429,84990,DebtCon,ProfExe,8,3,1,166.1793992,2,64,40.43670481
355,5000,,9100,HomeImp,Other,1,0,0,54.73333333,2,8,
356,5000,22700,34225,HomeImp,Other,4,0,0,74.63333333,3,9,
357,13600,159591,182585,DebtCon,ProfExe,7,,1,199.6986174,3,25,42.31951831
358,9100,,11550,HomeImp,Other,,0,0,51.93333333,1,3,
359,11300,29000,59900,HomeImp,Mgr,3,1,0,91.63333333,4,11,
360,6900,53328,58088,DebtCon,Sales,2,0,0,101.5319079,0,21,35.76405836
361,22300,101738,145709,HomeImp,,,,,,,,38.7199658
362,15900,42623,66458,DebtCon,ProfExe,4,0,0,146.8278925,1,12,30.28912984
363,30500,18375,61738,DebtCon,Mgr,20,3,5,141.7031333,0,28,45.3547887
364,13900,127259,194233,HomeImp,Office,1,0,1,341.6435017,0,16,40.10765909
365,16500,52030,158296,DebtCon,ProfExe,20,0,0,218.5392657,0,27,22.48479175
366,12300,68024,78800,DebtCon,Sales,7,0,0,125.5040514,0,35,29.29334435
367,42600,114000,174000,DebtCon,Self,12,0,0,183.4333333,0,5,
368,31600,11478,66275,DebtCon,Other,1,0,0,97.19863392,1,5,35.94520575
369,35000,240994,39401,DebtCon,Mgr,3,0,1,210.5018174,3,50,42.96751164
370,22300,,22399,DebtCon,ProfExe,5,0,0,96.64268699,1,18,22.19662471
371,31500,22100,35000,DebtCon,Other,1.9,2,0,85.23333333,2,14,
372,14700,,,,,,,,,,,24.59537785
373,37200,205922,267238,DebtCon,ProfExe,2,1,0,238.2114799,0,32,31.62284354
374,12700,61840,73541,DebtCon,ProfExe,1,0,0,157.8924467,2,35,41.65169171
375,21300,58209,84200,DebtCon,Other,18,0,0,212.9322977,0,22,33.03314641
376,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,
377,11700,63724,82252,DebtCon,Office,13,0,0,233.2488794,3,37,40.07527584
378,9900,35448,58056,DebtCon,Other,11,0,0,229.5228444,1,31,37.2974321
379,18000,57988,86970,DebtCon,Other,16,0,0,165.3333333,2,14,
380,15000,74000,90000,DebtCon,ProfExe,9,1,3,136.9666667,0,27,
381,6500,58689,72557,DebtCon,Other,0,0,1,94.00805286,2,18,34.89841307
382,14000,32000,48500,DebtCon,ProfExe,4,0,0,255.6666667,1,35,
383,10800,35602,73077,DebtCon,Self,,0,1,179.89656,1,20,53.58488301
384,7800,69662,80498,HomeImp,Other,4,0,0,100.428331,0,14,42.80734195
385,11300,124205,196124,HomeImp,Office,0,0,1,332.7233895,0,15,40.12016832
386,10800,75000,87400,HomeImp,Other,7,1,0,101.4666667,2,19,
387,22500,62137,95708,DebtCon,Office,4,,,187.1661489,,16,37.46041757
388,7900,67222,75189,HomeImp,Other,4,0,0,95.67687269,0,23,36.97971203
389,15000,8200,42075,DebtCon,ProfExe,18,1,0,122.2331482,0,23,
390,9900,73804,97413,DebtCon,ProfExe,5,0,0,107.3330245,0,25,33.5248796
391,13800,65178,79000,DebtCon,Office,11,0,3,111.6,1,23,
392,21400,104657,147364,DebtCon,Other,7,2,0,149.2544801,2,20,46.30507215
393,12200,136866,162906,HomeImp,ProfExe,4,0,0,427.9235915,0,43,30.1821229
394,12600,72854,86209,,ProfExe,2,0,0,118.0696474,0,14,36.05148718
395,8500,54000,62533,DebtCon,Other,4,0,1,313.4666667,0,10,
396,12700,30061,58714,,Other,29,0,0,230.8801537,0,19,20.6379176
397,24000,137000,204963,HomeImp,ProfExe,5,0,0,189.7,1,28,
398,15000,86177,111500,DebtCon,Other,14,0,0,133.9333333,2,9,
399,17500,76100,98500,DebtCon,Other,5,10,1,59.83333333,5,16,
400,20000,,130063,HomeImp,Other,2,0,0,323.9019547,2,21,32.31441938
401,9700,55986,73000,DebtCon,Other,2.5,0,1,207.1666667,2,29,
402,13500,73000,97000,DebtCon,Other,12,1,0,145.2,0,23,
403,12800,54151,83828,DebtCon,Other,13,0,0,132.1602699,0,16,23.47742628
404,28300,126942,166797,DebtCon,Mgr,0,0,0,244.7222847,1,23,33.394854
405,16700,,29387,DebtCon,Other,13,,,80.82059146,2,8,33.36449134
406,23500,90129,141785,DebtCon,ProfExe,23,1,0,158.9968245,0,25,40.33195033
