ID,Salary,Job Description
39,,"NYCERS is seeking a Business Analyst with a technical background and superior analytical skills. The Candidate will be a business liaison between the Business Units and IT. The BA is expected to forge strong working relationships between the Business clients and the technology groups in support of the Business Process Re-engineering and Process Improvement Recommendations (PIR). Duties will include leading business process discussions, requirements gathering (elicitation, documentation, and management); identifying disparate and overlapping current and future state workflow requirements; evaluating solutions that most effectively meet the needs of the business; assisting with the Quality Assurance (QA) Testing; and leading the User Acceptance Testing (UAT) efforts. Candidates must be flexible enough to grasp new concepts and paradigms very quickly, present technical and business concepts to Executives, and should be prepared to â€œout of the boxâ€ when necessary.  Primary Responsibilities: â€¢ Meet with Division Directors and staff to understand business processes and document operational requirements into  Business Requirements Documents â€¢ Ability to facilitate meetings with Division Directors and staff to determine and prioritize their business requirements and the impact of these requirements on existing applications and workflows. â€¢ Participate in the testing of various NYCERS applications.  â€¢ Provide subject matter expertise to the team throughout the life of a project â€¢ Supervise day-to-day operations in the absence of Unit Manager."
40,,"The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution.  DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees.  DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throughout the systemâ€™s 2,000 square mile watershed that extends 125 miles north and west of the City.  The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $15B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water supply system.  The Agencyâ€™s Vision is to be the safest, most efficient, cost effective, resilient, and transparent water utility in the nation. In order to carry out the mission of providing high quality, reliable water supply to New York City and some Upstate communities, the Department operates a network of watershed wastewater treatment plants, dams, bridges, shafts, reservoirs, tunnels, pumping stations, ultraviolet disinfection systems, filtration systems, and associated facilities throughout New York City and its watershed.  A substantial multibillion-dollar capital program is required to provide for new infrastructure as well as the reconstruction of existing assets to ensure the integrity, continuity, and high quality of the water supply.  The Water System Capital Program (WSCP) provides for the planning, design, construction management, and construction required to support our operating bureaus.    The Bureau of Engineering Design & Construction seeks to hire an Associate Project Manager III to be an Accountable Manager for the Ashokan Century Program of the Water Supply Capital Program directorate. Under general direction, the selected candidate will be responsible for managing reconstruction of the Ashokan Reservoirâ€™s Dividing Weir Bridge, Dividing Weir and Ashokan Spillway (CAT-213BWS). These structures represent the critical hydraulic features of the Ashokan reservoir. The Ashokan Century Program represents the Cityâ€™s $1B commitment to keep the Ashokan Reservoir in a state of good repair so it can continue functioning for another century. The Ashokan Century Program is the largest public works project in the Catskill Region in 50 years.   This position will include the preparation, review, development, and management of very large capital engineering projects. The selected candidate will advise the client bureaus in formulating project needs, options, and consequences, assuring that functional requirements are adequately articulated and that proposed projects fulfill these requirements.  Development of the project scope will include coordination and review of the drawings, specifications, conceptual estimates, and schedules produced by consultants, contractors and in-house technical staff. The candidate will manage design and assist in the administration for the assigned projects. The selected candidate will prepare project status reports and identify potential problems with project advancement, as well as work with both internal and external project stakeholders to proactively resolve project problems. S/he will be required to perform technical reviews, of drawing, specification, schedules, estimates, and reports as needed to support the development of infrastructure projects under development by the department. These reviews will require the application of technical knowledge related to engineering and construction to support the development of high quality infrastructure projects for the department. All project documents will be prepared and reviewed in accordance with the BEDC Standard Operating Procedures  (SOPs) and Department policies for Environmental Health and Safety (EH&S). S/he may supervise staff as assigned.  The candidate must be able to demonstrate critical thinking skills and effective independent data analysis. The position requires excellent oral and written communication skills, ability to meet deadlines, and an ability to be flexible in assignment of work responsibilities.   The candidate will be required to work extended days from time to time. The selected candidate will also be required to perform field work which may require standing and walking on uneven surfaces, steep slopes, stairs, in all weather conditions.  The position may alternatively be located in DEPâ€™s Kingston NY Office."
41,,"The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New York, and we collect and treat an average of 1.3 billion gallons of wastewater per day.  The Forestry, Horticulture, and Natural Resources Group is responsible for citywide urban forestry, ecological and horticulture initiatives, policy standards and performance measures, including street tree planting, Greenstreets, Green Infrastructure, natural areas restoration and horticultural training and education. The Green Infrastructure Unit of the NYC Parks Department (DPR GI Unit) focuses on stormwater capture in priority Combined Sewage Overflow (CSO) tributary areas, primarily in the right of way. This work not only improves the function of the cityâ€™s sewer system, it transforms grey space into green, providing New Yorkers with all of the commensurate benefits green space provides.  DEP's Bureau of Environmental Planning and Analysis (BEPA), located in Queens, NY, is seeking to hire two Assistant Landscape Architects to manage on-site parks green infrastructure (GI) projects, as part of the DEPâ€™s Green Infrastructure Program.  DEPâ€™s on-site GI program includes initiation, design and construction of green infrastructure projects in close partnership with the New York City Department of Parks and Recreation (DPR).  The successful applicants will be responsible for managing a portfolio of on-site green infrastructure projects in order to increase stormwater capture and improve receiving waterbody water quality.    Under supervision, perform landscape architectural work of moderate difficulty and responsibility in preparing and reviewing landscape architectural contract drawings, specifications and estimates of quantities for Green Infrastructure projects for DPR on-site stormwater management. Evaluate, propose solutions and provide comments to problems of grading, spatial organization and site utilization for the most cost-effective green infrastructure designs completed by consultants and coordinate projects with DPR.  Examine consultant contract drawings, specifications and construction estimates, and submit reports. Develop landscaping maps and data for existing conditions and for new or proposed additions or changes. Assist in monitoring and assessment of construction by reviewing shop drawings and proposing solutions to resolving design conflicts. Conduct site inspections for quality assurance as needed and provide support on general program management, planning and reporting tasks.  Additionally, the Assistant Landscape Architects will work with other bureaus and groups within DEP as well as DPR staff and engineering teams and/or green infrastructure (GI) maintenance teams when necessary.  They will complete administrative functions to ensure that the DPR on-site green infrastructure program runs efficiently and effectively. The successful candidates will also assist in maintaining project schedules and costs."
42,,"The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.3 million NYC residents and more than 1 million people in Upstate New York, and has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the cityâ€™s surrounding waterways.   The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $15B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water supply system.  BEDCâ€™s In-House Design (IHD) Directorate consists of eight engineering sections corresponding to the respective engineering functions they perform. This includes the Architectural, Site Civil, Structural, Process Mechanical/HVAC, Water Tunnel Structural, Water Tunnel Mechanical Systems, CAD, and Electrical sections plus two additional non-engineering sections, Quality Assurance and Quality Assurance Lab. Each engineering section prepares design and construction documents including engineering plans and specifications for the construction of water supply, sewer and wastewater treatment infrastructure, which are of the highest priority for the Agency.   The Civil Design Section of In-House Design is responsible for creating sustainable civil engineering designs for capital improvement projects that, in conjunction with other engineering disciplines, develop and shape DEPâ€™s public infrastructure, and assist in the continued operation and maintenance of an exemplary water supply, wastewater conveyance and treatment system to protect New York Cityâ€™s public environment.   The Bureau of Engineering Design & Construction (BEDC) seeks to hire an Administrative Project Manager (NM) to be a Design Lead for the Site Civil Design Section within the In-House Design Directorate, located in Queens, NY. Under direction, with great latitude for the exercise of independent judgment or action, the selected candidate will perform highly difficult and technically complex work, as an engineering specialist in site civil engineering.   The Civil Design Lead will be responsible for the implementation of capital projects through the design phase by preparing and overseeing the preparation of site civil engineering documents including drawings and specifications for large and complex projects for water supply and wastewater facilities. Tasks will also include preparing said engineering documents for civil site development of water supply facilities, water tunnels, wastewater pumping stations, wastewater treatment systems, and other miscellaneous facilities. As a Lead Designer, the candidate will be responsible for the review of geotechnical reports and surveys; engage in or supervise the complex research; investigations; studies or examinations related to the engineering functions and activities. The Civil Design Lead will guide and oversee a number of lower title Civil Section design personnel who are engaged with preparing site civil designs for water and wastewater projects.  In addition, the Civil Design Lead will conduct and prepare their own more advanced civil design work.  The Civil Design Lead will help to develop staff skills to meet the needs of the project scope, review and comment on designs of staff, and perform advanced level engineering for the more complex aspects of projects assigned to the group. Other responsibilities may include the preparation or review of other engineering discipline aspects of the basic design plan and the preparation of contract specifications and other technical specifications for major projects involving the construction, remodeling, operation, maintenance and repair of public works, structures and/or installations. Additionally, the selected candidate may also review and/or oversee staff review of designs prepared by outsourced engineering firms for similar facilities.  **** Please Note: Only candidates who are permanent as an Administrative Project Manager may be considered for this position. ****"
43,,"The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New York, and has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the cityâ€™s surrounding waterways.   The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $15B of planning and design contracts under its responsibility and management. The projects BEDC implements allow DEP as a whole to continue to operate and maintain an exemplary water supply system.  The Office of Stormwater Planning and Engineering (OSPE) will be a nucleus for strategic planning through active engagement on stormwater and water quality issues to identify synergies with other planned capital and operational improvements throughout the Agency as well as resiliency projects citywide. The OSPE Group will collaborate and coordinate with the Bureaus of Water and Sewer Operations, Wastewater Treatment and Sustainability to accomplish their mission.  The Bureau of Engineering Design & Construction seeks to hire an Associate Project Manager III for the OSPE, Resiliency Coordination and Infiltration and Inflow (I&I) Initiatives Division, located at our headquarters in Queens, NY. Under Executive direction, reporting directly to the Chief of Resiliency Coordination and I&I Initiatives, with wide latitude for the exercise of independent judgment, the selected candidate will serve as the Accountable Manager, Resiliency Coordination and I&I Initiatives. The Accountable Manager will have the following responsibilities:  Resiliency Coordination and Infiltration/Inflow Investigations: Resiliency Coordination Coordinate resiliency efforts across multiple Bureaus within DEP and across City, State and Federal Agencies including, but not limited to, the following projects (with lead Agency): â€¢	Red Hook (EDC) â€¢	Jamaica Bay (Army Corps) â€¢	East Side Coastal Resiliency (ESCR) â€“ (DDC) â€¢	ESCR Phase 2 (EDC) â€¢	Edgemere (HPD) â€¢	Tottenville Dunes (DPR) â€¢	Travis Ave (EDC) â€¢	Raising Shorelines (EDC)  â€¢	Resilient Neighborhoods (DCP) â€¢	NY Rising (ORR) â€¢	Sea wall, SI (USACE) â€¢	NYCHA coordination (NYCHA) â€¢	Resiliency w/ Affordable Housing (DCP) â€¢	Sunset Park (EDC) â€¢	Utilizing City Owned Vacant Property (Various) â€¢	Bellevue Hospital (EDC)  Infiltration/Inflow Investigations The following tasks shall be performed for applicable treatment plant drainage areas throughout the City including but not limited to Rockaway, Coney Island and Oakwood Beach: â€¢	Field verification of sewer system and physical characteristics â€¢	Flow monitoring â€¢	Hydraulic model development and simulations â€¢	Groundwater assessment â€¢	Determine peak infiltration rate and annual infiltration in each of the sub-metered areas â€¢	Televise sewers demonstrating high infiltration rates â€¢	Identify and confirm direct and indirect sources of inflow â€¢	Perform surveys of all buildings in the area to determine suspect downspouts â€¢	Summarize findings and recommendations to reduce I/I  Stormwater Planning and Development: Identify planned capital investments and operational optimizations to evaluate long term strategies for stormwater management that are implementable and cost effective and that would improve water quality and stormwater management capabilities. Additional responsibilities include directing staff in program review and development, analyses and planning, and coordinating with City, State and Federal operating and regulatory Agencies.  ****Only applicants who are permanent Civil Service Associate Project Manager will be considered for this position. ****"
44,,"Agency Description:  The New York City Department of Housing Preservation and Development (HPD) is the nationâ€™s largest municipal housing preservation and development agency. Its mission is to promote quality housing and diverse, thriving neighborhoods for New Yorkers through loan and development programs for new affordable housing, preservation of the affordability of the existing housing stock, enforcement of housing quality standards, and educational programs for tenants and building owners. HPD is tasked with fulfilling Mayor de Blasioâ€™s Housing New York Plan which was recently expanded and accelerated through Housing New York 2.0 to complete the initial goal of 200,000 homes two years ahead of schedule by 2022, and achieve an additional 100,000 homes over the following four years, for a total of 300,000 homes by 2026.  The Team: The Office of the Commissioner is jointly supervised by the Commissioner and the Chief of Staff and includes the Executive Assistant and two Special Assistants who also support activities of the Office.    Your Impact: The Executive Assistant independently manages and provides day-to-day operational and administrative support for the Office of the Commissioner and senior leaders.  The position serves as the primary point of contact for both internal and external contacts on all matters pertaining to the Commissionerâ€™s office.   Your Role: The Executive Assistant researches, prioritizes, and performs integrated liaison and follow up regarding multiple issues and concerns (including those of a sensitive and/or confidential nature) on the Commissionerâ€™s behalf. The Executive Assistant develops and maintains various files, protocols and systems, manages a variety of special projects, some or all of which may have organizational impact.  Your Responsibilities: Reporting to the Commissioner and supporting the Commissionerâ€™s team, the Executive Assistantâ€™s primary responsibilities are, but not limited to: â€¢	All administrative needs of the Commissioner and the Commissionerâ€™s team including maintaining the calendars, anticipating necessary background material, directions and other items required for each activity on the schedule â€¢	Drafting and preparing correspondence and emails as directed by the Commissioner and Commissionerâ€™s team â€¢	Handling travel arrangements, preparing and processing travel and expense reports for the Commissioner and the Commissionerâ€™s team â€¢	Providing assistance in the preparation and distribution of meeting materials â€¢	Ordering and maintaining office supplies and equipment and coordinating team meetings â€¢	Creating, organizing and managing paper and electronic files for the Commissioner and Commissionerâ€™s team â€¢	Coordinating and executing special events, meetings and programs, and managing the scheduling of meeting spaces â€¢	Management of conference spaces and serving as contact for internal and external partners â€¢	Assisting the Commissioner and the Commissionerâ€™s team with special projects and other related duties as needed"
45,,"Only candidates who are permanent in the Civil Engineering Intern title or those who are reachable on the current Open-Competitive list (Exam #6048) may apply. Please include a copy of your Notice of Result Card or indicate if you are already permanent in the title. Failure to do so will result in your disqualification.    The New York City Department of Design and Construction, Infrastructure Division, seeks a Civil Engineer Intern for the Coastal Resiliency Program. Under the direction of a Senior Design Engineer, the selected candidate will receive hands-on training and assist in moderate to difficult engineering work. Duties include: research studies, engineering investigations and examinations relating to engineering functions. S/he will perform civil engineering work of moderate difficulty in one or more of the following specialized engineering areas: design; drafting; engineering investigations; estimating; specifications; structural computations; field surveys, and some design-related site inspections.    *This is a grant-funded position. Your term of employment is dependent upon the availability of grant funding, but is expected to be at least three years."
46,,"**CANDIDATES MUST BE SERVING PERMANENTLY IN THE TITLE OF CIVIL ENGINEER TO BE CONSIDERED FOR THIS POSITION** Design & Construction seeks an ambitious, motivated and experienced engineer to improve NYC Streets by helping to achieve the cityâ€™s Vision Zero initiative. Design & Construction has professional engineering oversight for changes to curb line geometry and street plans for the five Boroughs. We create and maintain the official marking plans and oversee the application of all pavement markings including colored treatments for plazas, bus and bike lanes. The office draws on the expertise and talents of civil engineers, urban designers, sign designers, planners, IT experts, analysts and others to help the agency achieve Vision Zero and other goals.  The ideal candidate will direct the design and implementation of new roadway geometries and pavement markings of varying complexities, ensure the geometry of streets conform to engineering standards through the development of plans, reports and proposals submitted by DOT staff, consultants, contractors and outside agencies. The candidate will attend meetings to resolve issues within and outside the agency, work with consultants/contractors, perform and direct field surveys and inspections for in-house design projects, design or refine AutoCAD plans based upon aerial photos and GIS data, coordinate and manage the timely execution and implementation of work activities and assist in resolving field problems that may arise during layout and implementation of projects. The candidates will be asked to work collaboratively and inclusively, seeking to cultivate continued professional development and effectively communicate with all stakeholders. The ability to effectively coordinate with other units to develop and install street redesigns is necessary. Ability to understand pedestrian, bicycle, bus and motor vehicle issues and communicate and build consensus for design solutions in line with DOTâ€™s mission is essential."
47,,"The City of New York has an exciting opportunity for a civil engineer to improve the lives of New York City residents and visitors.  The New York City Department of Transportation (NYC DOT), Sidewalk and Inspection Management Division (SIM), Pedestrian Ramp Program (PRP), is seeking a talented engineer to join a team of architects, planners and engineers tasked with managing a comprehensive program to install and upgrade pedestrian ramps (curb ramps) throughout New York City.  SIM is responsible for maintaining the cityâ€™s 12,760 miles of sidewalks and approximately 300,000 pedestrian ramps.  PRP is tasked with sustaining a comprehensive American with Disabilities Act (ADA) compliant ramp program that ensures accessibility of pedestrian ramps, streets, and sidewalks.  Under the direction and supervision of the Senior Design Engineer, the Design Engineer shall evaluate existing pedestrian ramp conditions, develop design solutions to address complex pedestrian ramps and all associated accessibility components including horizontal and vertical alignments, and grading and drainage, evaluate accessibility infeasibilities, prepare contract plans, working drawings, and specifications.  The selected candidate will also perform design reviews of contract plans received from other NYCDOT divisions, other agencies, private utility companies, and developers. The civil engineering candidate shall collaborate with other divisions within NYCDOT, other agencies, contractors, and vendors.  The Design Engineer will acquire the technical expertise to ensure that the projects are developed to achieve the agencyâ€™s goals of safety, access and mobility, livability, cost-effectiveness, sustainability and resiliency, with emphasis in accessibility and universal design."
48,,"The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution.  DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees.  DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throughout the systemâ€™s 2,000 square mile watershed that extends 125 miles north and west of the City.  The Bureau of Wastewater Treatment (BWT) is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of the City. This includes 14 wastewater treatment plants, sludge dewatering facilities, collections facilities (pumping stations, combined sewer overflow retention facilities, regulators, tide gates, etc.), wastewater laboratories and harbor vessels.  Wastewater utilities are moving from handlers of wastewater to managers of sustainable resources and watershed-scale environmental leaders seeking the least-cost/highest return environmental and social solutions. We are embracing best practices and collaboration to ensure a sustainable future that minimizes waste, maximizes resources, protects our ratepayers, improves the community and embraces innovation. We have therefore been transforming from an agency that conveys and treats wastewater to a manager of valuable resources that is recognized as an essential partner in local economic development and an important member of the watershed community seeking to deliver maximum environmental benefits at the least cost to society.  The Performance Analyst will report directly to the Division Chief of Operations Support. They will be responsible for performing multi-faceted assessments of the wastewater treatment processes at various facilities to continually advance Operational Excellence objectives. The Facility Managers for the treatments plants will use the Process Analystsâ€™ findings to optimize non-labor efficiency.  Some of the specific tasks of a Performance Analyst include establishing chemical selection and dosing criteria for nitrogen-removal processes, field testing polymers to select the most cost-effective products, reviewing unit-specific energy utilization to identify potential savings, evaluating new equipment in the marketplace, advising process-control engineers, reviewing engineering designs, and meeting with regulators regarding compliance matters. The majority of a typical workday will be spent at field locations.   The Performance Analyst will work with Operations staff in developing Standard Operating Procedures to implement approved initiatives. These analysts will frequently meet with OpX consultants to discuss vet suggested improvements. Performance Analysts periodically carry out experimental activities, independently or as a team, to determine if enhancements to various treatment processes are viable. Collaboration with the bureauâ€™s Process Development section to research and test innovative technologies is also required. The Performance Analyst may be asked to prepare and administer chemical and service contracts, and provide input to in-house engineering staff for equipment selection.   Periodically, a Performance Analyst may fill in for a process control engineer.  IMPORTANT NOTE: Only those that have filed for DCAS Civil Service Exam 9003 for Associate Project Manager (APM) will be considered. Candidates selected to fill an APM position from this posting will be appointed on a provisional basis. As a provisional employee, you will be required to take and pass the APM civil service examination, which is expected to be held on Saturday, January 19, 2019."
49,,"The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.3 million New York City residents and more than 1 million people in Upstate New York, and we collect and treat an average of 1.3 billion gallons of wastewater per day.  The Bureau of Water and Sewer Operations' CMOM section is involved in the continuous effort of maintaining NYC's collection systems infrastructure within the standards imposed by federal, state and local authorities and adhering to the strategies and procedures outlined in the EPAâ€™s Guide for Evaluating Capacity Management Operation and Maintenance (CMOM) at Collections Systems. To achieve this goal CMOM conducts extensive research of the NYC sewer system and performs various field inspections and investigations throughout the five boroughs of the city. CMOM is tasked with the development and implementation of a comprehensive metrics framework to collect and track key performance indicators related to the maintenance of the collection system. CMOM analyzes numerous metrics to identify the system insufficiencies and problem areas, diagnose the root causes, recommend remedial measures and develop preventive maintenance activities. Properly performing these tasks can have a significant impact to key infrastructure including preventing sewer/street collapses.   Under supervision, the selected candidate will perform supervisory work, or moderately difficult work in civil engineering; participate in writing and reviewing contracts specifications; supervise vendorsâ€™ work and process contracts payments; work on special projects related to system research and studies of new concepts of civil nature along with any peripheral environmental and/or regulatory issues affecting operations and facilities of the city wastewater collection system; review approvals, drawings and submittals related to maintenance and construction work; investigate and help to resolve engineering issues associated with the systemâ€™s critical components; under supervision will perform research into the cause of the systemâ€™s recurring problems; conduct inspections and investigations related to the maintenance operations of the wastewater collection system; write reports summarizing inspections/investigations findings, including recommendations for the system improvement.  Some of the performed physical activities may include: walking or driving to and from inspection sites; climbing and descending a ladder or stairs, standing for extending periods of time; bending and stooping; working in confined spaces; distinguishing colors; carrying clipboards and various inspection equipment; walking around and climbing over various objects; working in areas that may be damp, smoky, or acrid; working outside in all types of weather conditions. Activities may require to wear certain protective gear such as: vest, boots, gloves, hard hat, gas mask, goggles or other, and use various inspection equipment and materials.  Valid Driver License is required for this position."
50,,"The Department of Design and Construction, Division of Infrastructure seeks a Program Coordinator for the Design Unit. The selected candidate will perform functions necessary to assist in the administration of design projects; prepare databases; liaise with Design, Construction, and Program Management staff; assist the Associate and Assistant Commissioner, as well as Executive Directors, by coordinating meetings, classes, and presentations. The Program Coordinator will also assist and arrange field visits to collect data on traffic and parking conditions; analyze traffic volumes and make recommendations to address roadway capacity issues; assist in research and development of different recyclable materials and their possible incorporation into the agencyâ€™s construction projects; prepare correspondences and presentations; maintain status reports and project schedules; schedule and attend meetings; perform data analyses; and prepare status reports. In addition, the candidate will serve as the Procurement Liaison for the Southeast Queens Initiative Program, responsible for initiating all procurement requests; and in the absence of the Divisionâ€™s Procurement Liaison, will coordinate procurement of special items, engineering, and technical reference materials.  In addition, the candidate will initiate requests for webinars and others technical trainings for the Division; serve as proctor to design webinars; and assist the Associate Commissioner in conducting research of required technical reference material/manuals, and updating and maintaining a database of materials."
51,,"â€¢	Under supervision, assist in the planting and cultivating of trees, flowers and shrubs, including tasks such as digging up, balling, burlapping, transplanting trees and shrubs; digging up and transplanting sod; potting flowers and plants; propagating plant life and pruning and spraying trees, shrubs and plants.  â€¢	Assist in the maintenance and operations of greenhouses and nurseries.  â€¢	Prepare soil and seed beds. Grade, sod, weed, mulch and mow lawns. Repair damaged planted areas, fertilizing and watering soil.   â€¢	Assist in and perform tasks involved in the operation and care of hand and power gardening tools and equipment.  â€¢	Make necessary operating adjustments; report needs for repairs and replacements to supervisor.  â€¢	Perform simple record keeping and prepare simple written reports.  â€¢	Drive vehicles and operate other motorized equipment required for to the performance of duties.  â€¢	Supervise seasonal employees, as well as volunteers, as needed."
52,,"The NYC Department of Probation (DOP) is a world leader in working creatively and effectively engaging with people under court-mandated community supervision. Through innovative partnerships with people and organizations throughout the New York City, DOP provides opportunities for those on probation to access services and opportunities that positively impact their life trajectory. Following the best current data on â€œwhat works,â€ staff at DOP engage in meaningful relationships with those on probation in an effort to enhance community safety and decrease recidivism.  DOP seeks to hire a Client Services Representative to assist in the day-to-day operations of a borough-based probation office.  The successful candidate, with limited latitude for independent judgment, performs liaison and related work between the agency and the individuals it serves. Specific duties will include, but are not limited to:   â€¢ Greeting clients and members of the public upon their arrival at DOP offices, and responding to requests for information about DOP and its procedures.  â€¢ Responding to and/or directing telephone inquiries from DOP clients and the public including responding to requests for appointment scheduling, copies of case files and related materials, address changes and court inquiries. â€¢ Performing routine office tasks which may include filing and locating records, case files and related materials creating, sorting and routing of supervision case folders, scanning/organizing various documents, digital photographing of probation clients and compilation of DP-30 reports. â€¢ Arranging for language interpretation services for individuals who are unable to communicate effectively in English assisting with the completion of forms such as permission to travel and providing clients information on various community-based resources. â€¢Improving communication between DOP and its clients by assisting with information requests involving the case management and other automated office systems including: researching case status, fact-finding and transfer of cases, as well as: entering court events pertaining probation supervision, logging cases, generating case numbers and face sheets and entering violation of probation (VOP) information. â€¢ Assisting with ordering and maintenance of office supplies, sorting and distribution of mail, maintenance of record room and coordinating the scheduling and organization of meetings and other community activities."
53,,"The New York City Department of Investigation (â€œDOIâ€) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City government, City agencies, and City employees, vendors with City contracts, individuals and entities that receive City funds.  The Information Technology Unit of the NYC Department of Investigation is looking for a Systems Engineer to support the agency's IT infrastructure. The ideal candidate will provide enhancements and implementation of new technologies to support the strategic needs of the agency and its partners in the delivery of applications and services in a reliable and secure fashion. The engineer will be responsible for preparing technical reports, design documentation, and run books.   The selected candidate must demonstrate the ability to exercise independent initiative and judgment when managing and monitoring the infrastructure, along with the DOI applications that reside on them. This includes over 200 Windows and Linux servers running multiple applications such as Exchange, SQL, Oracle, and custom in-house applications.   Candidate is required to work Nights and Weekends as needed."
54,,"The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City government, City agencies, and City employees, vendors with City contracts, individuals and entities that receive City funds.  The Fiscal unit is seeking to hire a candidate who will assist with the agency revenue recognition process from multiple revenues streams, including credit cards collections, payroll deductions, money order and checks. The candidate will be responsible for researching, tracking, and invoicing revenues due; assisting in the review and processing of documents in the City's Financial Management System (FMS) as it relates to revenue collections, reporting and reconciliations; assisting in various special projects, including the evaluation of internal controls using financial analyses. The selected candidate will serve as the point of contact for all agency related travel arrangements, reimbursements, and petty cash disbursements."
55,,"The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New York, and we collect and treat an average of 1.3 billion gallons of wastewater per day.  The selected candidates will be responsible for the facility's operations and maintenance. Will operate, maintain, repair, inspect, test, and adjust equipment, including pumps, electric motors, generators, bearings, switchboards, controllers, transformers, circuit breakers, compressors, gauges, valves, fittings, heating, and ventilation apparatuses of several potable water facilities citywide such as pumping stations. Will be responsible for coordinating and supervising the work of Oilers and other employees. Keep records, make inspections and prepare reports. In addition prepare requisitions for materials, services and repairs that may be required.   License Requirement For appointment to certain positions, candidates must have a motor vehicle driver license valid in the State of New York. This license must be maintained for the duration of the assignment."
56,,"The Department of Homeless Services is seeking to hire an Assistant Deputy Administrator to function as the DHS First Deputy Commissioner. As an agency comprised of 2,000 employees, with an annual operating budget of approximately $2 billion, DHS is one of the largest organizations of its kind committed to preventing and addressing homelessness in New York City.  As it engages in this mission, DHS employs a variety of innovative strategies to help families and individuals successfully exit shelter and return to self-sufficiency as quickly as possible.   Under the direction of the DHS Administrator, with the widest latitude for the exercise of independent judgment and decision-making, the DHS First Deputy Commissioner will direct, coordinate, and supervise a broad area of related functions concerned with the development, technical functions, and processes of the Department of Homeless Services.   Additional responsibilities will include, but are not limited to the following:  â€¢	Provide executive direction of shelter development and vacancy control; shelter budgeting; rehousing, including the conversion of shelter sites into permanent housing; shelter operations; and facilities administration.   â€¢	In conjunction with the DHS Administrator, oversee the day-to-day operations of DHS and provide consultation to programmatic divisions, including oversight of the Office of the Medical Director.   â€¢	Ensure that the divisions and program areas are operated in a manner consistent with the mandates of the Agency, rules and regulations of law, and court rulings effecting the provision of services to the homeless in accordance to agency objectives.   â€¢	Plan, develop, and formulate policies and procedures affecting DHS programs and streamlines processes, and provide the DHS Administrator with information and recommendations for programmatic and policy decisions.   â€¢	Assume executive responsibility for Agency functions, programs, projects, and initiatives in the absence of the DHS Administrator."
